path,filename,extension,size_bytes,size_mb,modified_utc,sha256,status,source_scope
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240134_EPSG25832_preview.jpg,240134_EPSG25832_preview.jpg,.jpg,892283,0.851,2026-07-03T22:05:07.600618Z,81fce66e981ca3d7c5d7c4d58aed05ea6f7a86ba6f25e79f31b691a743c0c0d2,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240143_EPSG25832_preview.jpg,240143_EPSG25832_preview.jpg,.jpg,873742,0.833,2026-07-03T22:05:07.893944Z,b5a7b8abf2e2aa411cd78d76016f5be4a8f0defdfb4d7fead19f0d88953e5699,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/240144_EPSG25832_preview.jpg,240144_EPSG25832_preview.jpg,.jpg,830161,0.792,2026-07-03T22:05:08.196192Z,37810313373bc836eca1d74587d8ffae0d07797cdf37aa723abf73f77638ffba,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/00_CTR_PREVIEW/tile_preview_metadata.json,tile_preview_metadata.json,.json,3508,0.003,2026-07-03T22:05:08.201969Z,6776c2f732bf671f090b6138329c5c7553d2d0d1af3af52ea662cc99eff7debe,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/01_HISTORICAL_PREVIEW/01CT_FO004_043_enhanced.jpg,01CT_FO004_043_enhanced.jpg,.jpg,958415,0.914,2026-07-03T22:05:08.319060Z,cf1eac4ca2f5c7d3e4dd6da014e1efe9bb2e689f3af83c360c0cd0a3440bfae7,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/01_HISTORICAL_PREVIEW/CT_FO004_042_enhanced.jpg,CT_FO004_042_enhanced.jpg,.jpg,1005508,0.959,2026-07-03T22:05:08.448836Z,b37113db5ff6acb73bda2c258b22406e9850ed1bc5b8ae6f0f6653189094407a,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/01_HISTORICAL_PREVIEW/CT_FO004_044_enhanced.jpg,CT_FO004_044_enhanced.jpg,.jpg,945558,0.902,2026-07-03T22:05:08.554255Z,a4ed04bc9d4e75c2d729934b0457b9244f11f5c28b664e3daa1c2034393eab96,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/01_HISTORICAL_PREVIEW/CT_FO004_045_enhanced.jpg,CT_FO004_045_enhanced.jpg,.jpg,1073517,1.024,2026-07-03T22:05:08.661372Z,716a869bd5cd9d5d338f5bd7d3cc0f560cad8a7168bd0c4e5b1cc097324f3491,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/02_GCP_REVIEW/GCP_32_review_v2_6.csv,GCP_32_review_v2_6.csv,.csv,6529,0.006,2026-07-03T22:05:36.761674Z,0c1c6f2fb488b54cba3336c3537a040eedc876ce2f749c9069c5cd9d94a97c1c,GENERATED,CURRENT_RUNTIME
Forli_DigitalTwin_v2_6_GCP_Matching/03_REPORT/report_v2_6.md,report_v2_6.md,.md,1065,0.001,2026-07-03T22:05:36.763194Z,391bdc81f1921ea17d8e134652752b2273111f83b958e9fccb75340e8d150aae,GENERATED,CURRENT_RUNTIME
